date,county,cases,deaths,new_cases,new_deaths,new_cases_week_avg,new_deaths_week_avg,aggregation
2020-08-07,Grundy,78,1,2,0,0.8571428571428571,0,none
2020-08-07,Mitchell,78,0,0,0,0.2857142857142857,0,none
2020-08-07,Union,75,1,0,0,1.2857142857142858,0,none
2020-08-07,Monroe,72,7,3,0,0.8571428571428571,0,none
2020-08-07,Worth,65,0,0,0,0.8571428571428571,0,none
2020-08-07,Lucas,60,4,3,0,2.5714285714285716,0,none
2020-08-07,Cass,56,1,6,0,2,0,none
2020-08-07,Chickasaw,54,0,0,0,0.8571428571428571,0,none
2020-08-07,Davis,54,1,2,0,0.8571428571428571,0,none
2020-08-07,Montgomery,54,4,1,0,1.7142857142857142,0.14285714285714285,none
2020-08-07,Howard,49,0,0,0,0.2857142857142857,0,none
2020-08-07,Appanoose,48,3,1,0,1.1428571428571428,0,none
2020-08-07,Greene,40,0,1,0,0.2857142857142857,0,none
2020-08-07,Fremont,38,0,1,0,0.8571428571428571,0,none
2020-08-07,Keokuk,34,1,1,0,0.8571428571428571,0,none
2020-08-07,Van Buren,34,1,0,0,0.7142857142857143,0,none
2020-08-07,Ida,29,0,0,0,0,0,none
2020-08-07,Adair,28,0,1,0,1.1428571428571428,0,none
2020-08-07,Audubon,28,1,0,0,0,0,none
2020-08-07,Decatur,23,0,0,0,0.2857142857142857,0,none
2020-08-07,Ringgold,21,1,0,0,0,0,none
2020-08-07,Wayne,19,1,0,0,0.5714285714285714,0,none
2020-08-07,Adams,16,0,0,0,0.14285714285714285,0,none
2020-08-06,Polk,10032,206,158,2,92,0.7142857142857143,none
2020-08-06,Woodbury,3691,51,18,0,11.285714285714286,0.5714285714285714,none
2020-08-06,Black Hawk,3084,63,30,1,19.571428571428573,0.14285714285714285,none
2020-08-06,Linn,2279,87,81,0,44.142857142857146,0,none
2020-08-06,Johnson,2021,16,19,0,23.571428571428573,0.2857142857142857,none
2020-08-06,Dallas,1846,35,39,0,17.714285714285715,0,none
